simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
244,False,1440881.6417459263,1.5009180404942672,,,,,,,,,
245,True,1972940.711728442,1.5624340365021416,False,5399724.468749577,1.80026477072282,,,,,,
246,True,1085654.6036382723,1.7452469289387484,True,3879949.634972377,1.5945269610485684,True,17241930.13527535,2.0616403680980238,True,4467775.074177342,0.6515874259683497
247,True,1757638.9723543047,1.4187880762715672,True,3752026.0575979063,2.2477733235105353,False,13371414.731943192,2.3601864306196836,,,
248,False,1241273.751869185,1.610292424240448,,,,,,,,,
249,True,1715855.461768332,1.9627440319331733,False,4625425.909725199,2.2105883430609183,,,,,,
250,True,1592697.3569928592,1.8087215085807338,True,4949362.966724761,2.3521454260591756,True,12729498.18563782,2.239894731660537,True,2543460.8507472845,0.815591378531616
251,True,1832024.1212195843,1.2436543796955757,True,3225727.3250532374,1.7591070413176981,True,15270737.93426427,2.5811237032113876,True,4889390.92712369,0.9934829038984756
252,True,1691615.7871460654,1.297194527348695,True,3116189.30293731,2.2117560275782395,True,19470447.36934918,2.285323913162903,True,2078744.0250559975,0.7895499798464372
253,True,1375161.0356851802,1.2470386692952693,True,4229664.161143839,1.8991345883070738,True,12587210.928708054,2.1917845016338795,True,3742130.345149227,0.5197028060582624
254,True,1270975.826614088,1.5490068280926774,False,4058345.781120505,1.5214107271246062,,,,,,
255,True,1051494.9523007723,1.9243106300517026,True,3884553.0012336858,1.7020216338327332,True,17700817.794754017,2.2894806564954084,True,3612982.29228329,0.66381393885077
256,True,942747.2691288721,1.8571827565416608,True,3594188.671149469,1.7660061132532447,True,11245641.22995548,2.849902976346474,True,3025307.1021607434,0.5288170463943731
257,True,1614283.6214169613,1.5934798400836463,True,5650883.169938961,1.8839319158493553,True,18881600.342562973,2.718654370180253,True,3407415.3333406383,0.7620362761006777
258,True,1686800.2454490536,1.987627003271956,True,5091770.1893960405,1.6977779676621243,True,13218836.197167438,2.375576785436879,True,3195240.854543532,0.9898933697618675
259,True,1844601.6618888988,1.1932201590152376,True,3814115.7790068844,2.2265241743433384,False,10729601.956232077,2.7151337349941325,,,
260,False,1565724.182878487,1.133597825016376,,,,,,,,,
261,False,1335814.5377170304,1.1735462454509278,,,,,,,,,
262,False,1658666.9748690545,1.4664754536643276,,,,,,,,,
263,True,849844.8483654868,1.90088501894429,True,3232121.995690344,2.031199633128037,True,15726657.476160832,2.8657369255616794,True,4742264.725639047,0.7073291858412545
264,True,1364417.2580938223,1.5000228560226412,False,3900562.6994060506,2.088179112860316,,,,,,
265,True,1850999.9815350375,1.6895904650256357,True,3014753.6832819763,1.5021203322413723,True,16811098.358144715,2.5743813904638313,True,3164015.332058126,0.5437799706328248
266,True,1487665.1713556398,1.8106827735618582,True,5778375.520245215,2.3431602209205664,False,19254979.66305055,2.445380044308587,,,
267,True,1231320.0005009451,1.2476959605421492,True,4125772.0166540444,1.638065183722795,True,14752817.296613924,2.7724370808091403,True,2791237.2540405183,0.907445583394012
268,True,1744535.930524672,1.1223378250024605,False,4161964.975713851,2.30260883867883,,,,,,
269,True,1839550.3716174625,1.4035838437706383,True,4141186.068094426,1.8033791503372263,True,16782468.07542807,2.1260389992693964,False,3595800.417207418,0.7326068478523848
270,True,1521252.0664112773,1.8754205436985014,True,3380291.769620962,1.9114157276887727,False,15395814.109229444,2.220863634160254,,,
271,True,1375600.2638405466,1.3574328725218894,False,4243517.555513499,2.062783366254278,,,,,,
272,True,1482660.254590163,1.5835460502069485,True,4498033.705738744,2.2304701623917955,True,17868996.153446224,2.478839325755426,True,2004852.063935324,0.6569190568730972
273,True,1702035.005026861,1.0651241383614711,True,5213832.973337088,2.472540719790345,True,15386216.435869396,2.253636334645617,True,3964324.5911061103,0.8736285104831902
274,False,1151060.211711097,1.1840867393742545,,,,,,,,,
275,False,1749368.8236881294,1.560867489501379,,,,,,,,,
276,True,1037385.5372943355,1.8021745436503664,True,4382465.894036235,2.312304064445393,True,15712020.469260465,2.5432459333587034,True,4841005.777859196,0.6662246005191448
277,True,1124004.6027054293,1.184112465205525,True,3544957.80185184,2.232428335466066,True,12077880.043339754,2.3394811574540446,True,4051901.6110630063,0.6259074422540252
278,True,1458241.8847849504,1.8128258526911818,True,5883898.055944702,1.9568033112544092,True,19576060.2832196,2.6261746464776086,True,2933283.6747693047,0.6093691015512259
279,False,1922796.0793931524,1.349233260403063,,,,,,,,,
280,True,1681708.087761098,1.7404499465212662,True,5886699.435596051,1.8078373208504077,True,14972099.843403945,2.2510602844371497,True,2308174.219167788,0.8114054090455967
